time,event_name,count
edx.bookmark.accessed,2019-05-06,2
edx.bookmark.accessed,2019-06-20,1
edx.bookmark.added,2019-02-12,7
edx.bookmark.added,2019-02-13,2
edx.bookmark.added,2019-02-14,2
edx.bookmark.added,2019-02-15,1
edx.bookmark.added,2019-02-16,5
edx.bookmark.added,2019-02-18,1
edx.bookmark.added,2019-02-21,6
edx.bookmark.added,2019-03-03,1
edx.bookmark.added,2019-03-04,1
edx.bookmark.added,2019-03-05,6
edx.bookmark.added,2019-03-09,1
edx.bookmark.added,2019-03-10,1
edx.bookmark.added,2019-03-13,2
edx.bookmark.added,2019-03-22,1
edx.bookmark.added,2019-03-31,1
edx.bookmark.added,2019-04-07,1
edx.bookmark.added,2019-04-11,1
edx.bookmark.added,2019-04-14,1
edx.bookmark.added,2019-04-16,1
edx.bookmark.added,2019-04-17,1
edx.bookmark.added,2019-04-25,1
edx.bookmark.added,2019-05-03,1
edx.bookmark.added,2019-05-06,2
edx.bookmark.added,2019-05-07,1
edx.bookmark.added,2019-06-01,1
edx.bookmark.added,2019-06-16,1
edx.bookmark.added,2019-06-17,1
edx.bookmark.added,2019-06-18,2
edx.bookmark.added,2019-06-19,1
edx.bookmark.added,2019-06-20,2
edx.bookmark.added,2019-06-23,1
edx.bookmark.added,2019-06-25,1
edx.bookmark.listed,2019-02-11,1
edx.bookmark.listed,2019-02-12,1
edx.bookmark.listed,2019-02-15,1
edx.bookmark.listed,2019-02-18,1
edx.bookmark.listed,2019-02-19,1
edx.bookmark.listed,2019-02-26,1
edx.bookmark.listed,2019-03-04,1
edx.bookmark.listed,2019-03-16,1
edx.bookmark.listed,2019-04-10,1
edx.bookmark.listed,2019-04-25,1
edx.bookmark.listed,2019-05-05,1
edx.bookmark.listed,2019-05-06,2
edx.bookmark.listed,2019-05-08,1
edx.bookmark.listed,2019-05-21,1
edx.bookmark.listed,2019-06-18,1
edx.bookmark.listed,2019-06-19,1
edx.bookmark.listed,2019-06-20,2
edx.bookmark.listed,2019-06-25,1
edx.bookmark.listed,2019-06-29,1
edx.bookmark.removed,2019-02-12,1
edx.bookmark.removed,2019-03-05,1
edx.bookmark.removed,2019-03-10,1
edx.bookmark.removed,2019-03-13,1
edx.bookmark.removed,2019-03-22,1
edx.bookmark.removed,2019-03-31,1
edx.bookmark.removed,2019-04-14,1
edx.bookmark.removed,2019-04-16,1
edx.bookmark.removed,2019-04-17,1
edx.bookmark.removed,2019-04-25,1
edx.bookmark.removed,2019-05-06,3
edx.bookmark.removed,2019-06-01,1
edx.bookmark.removed,2019-06-18,1
edx.bookmark.removed,2019-06-20,1
edx.bookmark.removed,2019-06-25,1
edx.cohort.created,2019-02-04,1
edx.cohort.creation_requested,2019-02-04,1
edx.cohort.user_add_requested,2019-02-27,31
edx.cohort.user_add_requested,2019-06-20,9
edx.cohort.user_add_requested,2019-06-27,2
edx.cohort.user_added,2019-02-12,7
edx.cohort.user_added,2019-02-13,5
edx.cohort.user_added,2019-02-14,5
edx.cohort.user_added,2019-02-15,3
edx.cohort.user_added,2019-02-16,2
edx.cohort.user_added,2019-02-17,2
edx.cohort.user_added,2019-02-18,3
edx.cohort.user_added,2019-02-19,1
edx.cohort.user_added,2019-02-20,2
edx.cohort.user_added,2019-02-22,1
edx.cohort.user_added,2019-02-23,1
edx.cohort.user_added,2019-02-25,2
edx.cohort.user_added,2019-02-26,2
edx.cohort.user_added,2019-02-27,31
edx.cohort.user_added,2019-03-04,1
edx.cohort.user_added,2019-03-27,1
edx.cohort.user_added,2019-03-30,1
edx.cohort.user_added,2019-04-10,1
edx.cohort.user_added,2019-04-21,1
edx.cohort.user_added,2019-05-07,1
edx.cohort.user_added,2019-05-09,1
edx.cohort.user_added,2019-06-20,9
edx.cohort.user_added,2019-06-27,2
edx.cohort.user_removed,2019-02-27,31
edx.cohort.user_removed,2019-06-20,9
edx.cohort.user_removed,2019-06-27,2
edx.course.enrollment.activated,2019-01-31,1
edx.course.enrollment.activated,2019-02-01,16
edx.course.enrollment.activated,2019-02-02,12
edx.course.enrollment.activated,2019-02-03,20
edx.course.enrollment.activated,2019-02-04,32
edx.course.enrollment.activated,2019-02-05,19
edx.course.enrollment.activated,2019-02-06,26
edx.course.enrollment.activated,2019-02-07,16
edx.course.enrollment.activated,2019-02-08,16
edx.course.enrollment.activated,2019-02-09,17
edx.course.enrollment.activated,2019-02-10,18
edx.course.enrollment.activated,2019-02-11,74
edx.course.enrollment.activated,2019-02-12,87
edx.course.enrollment.activated,2019-02-13,52
edx.course.enrollment.activated,2019-02-14,55
edx.course.enrollment.activated,2019-02-15,40
edx.course.enrollment.activated,2019-02-16,30
edx.course.enrollment.activated,2019-02-17,40
edx.course.enrollment.activated,2019-02-18,25
edx.course.enrollment.activated,2019-02-19,23
edx.course.enrollment.activated,2019-02-20,27
edx.course.enrollment.activated,2019-02-21,44
edx.course.enrollment.activated,2019-02-22,19
edx.course.enrollment.activated,2019-02-23,15
edx.course.enrollment.activated,2019-02-24,24
edx.course.enrollment.activated,2019-02-25,21
edx.course.enrollment.activated,2019-02-26,26
edx.course.enrollment.activated,2019-02-27,32
edx.course.enrollment.activated,2019-02-28,25
edx.course.enrollment.activated,2019-03-01,15
edx.course.enrollment.activated,2019-03-02,15
edx.course.enrollment.activated,2019-03-03,15
edx.course.enrollment.activated,2019-03-04,17
edx.course.enrollment.activated,2019-03-05,22
edx.course.enrollment.activated,2019-03-06,9
edx.course.enrollment.activated,2019-03-07,6
edx.course.enrollment.activated,2019-03-08,7
edx.course.enrollment.activated,2019-03-09,12
edx.course.enrollment.activated,2019-03-10,15
edx.course.enrollment.activated,2019-03-11,15
edx.course.enrollment.activated,2019-03-12,17
edx.course.enrollment.activated,2019-03-13,13
edx.course.enrollment.activated,2019-03-14,9
edx.course.enrollment.activated,2019-03-15,10
edx.course.enrollment.activated,2019-03-16,13
edx.course.enrollment.activated,2019-03-17,13
edx.course.enrollment.activated,2019-03-18,21
edx.course.enrollment.activated,2019-03-19,20
edx.course.enrollment.activated,2019-03-20,11
edx.course.enrollment.activated,2019-03-21,14
edx.course.enrollment.activated,2019-03-22,11
edx.course.enrollment.activated,2019-03-23,8
edx.course.enrollment.activated,2019-03-24,19
edx.course.enrollment.activated,2019-03-25,10
