target_name                                                                  target_url
---------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Итоговый экзамен                                                             https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/a63117926bed4c83bfe8c2186a3f1e97/
Итоговый экзамен для студентов Политеха (без прокторинга) _2                 https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/d1baa897cadf4c1596181ae4ac22bde1/
Итоговый экзамен для студентов Политеха (без прокторинга) _2 текущий раздел  https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/d1baa897cadf4c1596181ae4ac22bde1/
Итоговый экзамен для студентов Политеха (без прокторинга)_1                  https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/6b114d8f837841fba19cbb5b251206fa/
Итоговый экзамен для студентов Политеха (без прокторинга)_1 текущий раздел   https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/6b114d8f837841fba19cbb5b251206fa/
Итоговый экзамен текущий раздел                                              https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/b732f327d7c64541ba9f1f1d54922dab/a63117926bed4c83bfe8c2186a3f1e97/
Неделя 1. Занятия                                                            https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
Неделя 1. Занятия текущий раздел                                             https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
Неделя 1. Обсуждение                                                         https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/aa9ebe1cd2b34dc38b866a5cb525be64/
Неделя 1. Обсуждение текущий раздел                                          https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/aa9ebe1cd2b34dc38b866a5cb525be64/
