time,count
2019-02-12,722
2019-02-13,284
2019-02-14,176
2019-02-15,162
2019-02-16,181
2019-02-17,81
2019-02-18,223
2019-02-19,256
2019-02-20,383
2019-02-21,213
2019-02-22,312
2019-02-23,237
2019-02-24,165
2019-02-25,171
2019-02-26,565
2019-02-27,201
2019-02-28,150
2019-03-01,218
2019-03-02,17
2019-03-03,417
2019-03-04,155
2019-03-05,273
2019-03-06,249
2019-03-07,255
2019-03-08,141
2019-03-09,171
2019-03-10,301
2019-03-11,81
2019-03-12,260
2019-03-13,46
2019-03-14,72
2019-03-15,67
2019-03-16,83
2019-03-17,19
2019-03-18,92
2019-03-19,155
2019-03-20,96
2019-03-21,200
2019-03-22,142
2019-03-23,64
2019-03-24,22
2019-03-25,97
2019-03-26,109
2019-03-27,142
2019-03-28,34
2019-03-29,52
2019-03-30,162
2019-03-31,172
2019-04-01,119
2019-04-02,173
2019-04-03,102
2019-04-04,151
2019-04-05,126
2019-04-06,218
2019-04-07,342
2019-04-08,120
2019-04-09,61
2019-04-10,132
2019-04-11,42
2019-04-12,39
2019-04-13,232
2019-04-14,222
2019-04-15,136
2019-04-16,150
2019-04-17,117
2019-04-18,62
2019-04-19,128
2019-04-20,75
2019-04-21,107
2019-04-22,8
2019-04-23,142
2019-04-24,167
2019-04-25,38
2019-04-26,22
2019-04-27,100
2019-04-28,415
2019-04-29,77
2019-04-30,153
2019-05-01,112
2019-05-02,206
2019-05-03,559
2019-05-04,244
2019-05-05,406
2019-05-06,505
2019-05-07,360
2019-05-08,12
2019-05-09,137
2019-05-10,48
2019-05-11,68
2019-05-12,62
2019-05-13,359
2019-05-14,295
2019-05-15,15
2019-05-16,55
2019-05-17,105
2019-05-18,270
2019-05-19,215
2019-05-20,64
2019-05-21,154
2019-05-22,53
2019-05-23,90
2019-05-24,32
2019-05-25,20
2019-05-26,63
2019-05-27,136
2019-05-28,132
2019-05-29,17
2019-05-30,52
2019-05-31,141
2019-06-01,60
2019-06-02,130
2019-06-03,110
2019-06-04,230
2019-06-05,12
2019-06-06,247
2019-06-07,223
2019-06-08,255
2019-06-09,285
2019-06-10,200
2019-06-11,211
2019-06-12,374
2019-06-13,241
2019-06-14,402
2019-06-15,185
2019-06-16,371
2019-06-17,1019
2019-06-18,1588
2019-06-19,625
2019-06-20,97
2019-06-21,56
2019-06-22,117
2019-06-23,137
2019-06-24,391
2019-06-25,77
2019-06-26,1062
2019-06-27,237
2019-06-28,2
2019-06-29,2
