time,event_name,count
book,2018-09-17,731
book,2018-09-18,476
book,2018-09-19,447
book,2018-09-20,509
book,2018-09-21,473
book,2018-09-22,289
book,2018-09-23,565
book,2018-09-24,422
book,2018-09-25,257
book,2018-09-26,325
book,2018-09-27,361
book,2018-09-28,215
book,2018-09-29,301
book,2018-09-30,340
book,2018-10-01,266
book,2018-10-02,119
book,2018-10-03,249
book,2018-10-04,303
book,2018-10-05,178
book,2018-10-06,234
book,2018-10-07,524
book,2018-10-08,197
book,2018-10-09,269
book,2018-10-10,535
book,2018-10-11,351
book,2018-10-12,214
book,2018-10-13,139
book,2018-10-14,466
book,2018-10-15,108
book,2018-10-16,313
book,2018-10-17,138
book,2018-10-18,117
book,2018-10-19,121
book,2018-10-20,511
book,2018-10-21,307
book,2018-10-22,254
book,2018-10-23,134
book,2018-10-24,192
book,2018-10-25,127
book,2018-10-26,444
book,2018-10-27,532
book,2018-10-28,292
book,2018-10-29,321
book,2018-10-30,65
book,2018-10-31,480
book,2018-11-01,116
book,2018-11-02,111
book,2018-11-03,25
book,2018-11-04,198
book,2018-11-05,626
book,2018-11-06,18
book,2018-11-07,181
book,2018-11-08,104
book,2018-11-09,503
book,2018-11-10,160
book,2018-11-11,1127
book,2018-11-12,233
book,2018-11-13,299
book,2018-11-14,315
book,2018-11-15,534
book,2018-11-16,534
book,2018-11-17,311
book,2018-11-18,1109
book,2018-11-19,295
book,2018-11-20,257
book,2018-11-21,267
book,2018-11-22,174
book,2018-11-23,423
book,2018-11-24,556
book,2018-11-25,776
book,2018-11-26,1361
book,2018-11-27,596
book,2018-11-28,187
book,2018-11-29,318
book,2018-11-30,167
book,2018-12-01,164
book,2018-12-02,225
book,2018-12-03,102
book,2018-12-04,416
book,2018-12-05,466
book,2018-12-06,143
book,2018-12-07,11
book,2018-12-08,12
book,2018-12-09,519
book,2018-12-10,1205
book,2018-12-11,320
book,2018-12-12,780
book,2018-12-13,39
book,2018-12-14,97
book,2018-12-15,573
book,2018-12-16,756
book,2018-12-17,648
book,2018-12-18,227
book,2018-12-19,146
book,2018-12-20,200
book,2018-12-21,452
book,2018-12-22,153
book,2018-12-23,468
book,2018-12-24,343
book,2018-12-25,222
book,2018-12-26,1026
book,2018-12-27,622
book,2018-12-28,380
book,2018-12-29,441
book,2018-12-30,315
book,2018-12-31,279
book,2019-01-01,210
book,2019-01-02,1429
book,2019-01-03,683
book,2019-01-04,544
book,2019-01-05,2227
book,2019-01-06,732
book,2019-01-07,346
book,2019-01-08,158
book,2019-01-09,90
book,2019-01-10,373
book,2019-01-11,2242
book,2019-01-12,792
book,2019-01-13,1013
book,2019-01-14,704
book,2019-01-15,457
book,2019-01-16,681
book,2019-01-17,623
book,2019-01-18,871
book,2019-01-19,1797
book,2019-01-20,1809
book,2019-01-21,3341
book,2019-01-22,1331
book,2019-01-23,558
book,2019-01-24,816
book,2019-01-25,166
book,2019-01-26,48
book,2019-01-27,131
book,2019-01-28,135
book,2019-01-29,26
book,2019-01-30,156
book,2019-01-31,3
book,2019-02-02,20
book,2019-02-04,211
book,2019-02-05,143
book,2019-02-06,78
book,2019-02-07,1
book,2019-02-11,10
book,2019-02-12,578
book,2019-02-16,1
book,2019-02-17,1
book,2019-02-18,9
book,2019-02-19,102
book,2019-02-28,37
edx.bookmark.accessed,2018-09-18,4
edx.bookmark.accessed,2018-09-21,1
edx.bookmark.accessed,2018-09-23,2
edx.bookmark.accessed,2018-09-24,3
edx.bookmark.accessed,2018-09-28,1
edx.bookmark.accessed,2018-10-04,2
edx.bookmark.accessed,2018-10-07,3
edx.bookmark.accessed,2018-10-09,3
edx.bookmark.accessed,2018-10-11,1
edx.bookmark.accessed,2018-10-20,2
edx.bookmark.accessed,2018-10-27,2
edx.bookmark.accessed,2018-10-28,2
edx.bookmark.accessed,2018-10-31,1
edx.bookmark.accessed,2018-11-26,1
edx.bookmark.accessed,2018-12-03,2
edx.bookmark.accessed,2018-12-14,1
edx.bookmark.accessed,2018-12-15,1
edx.bookmark.accessed,2018-12-17,7
edx.bookmark.accessed,2018-12-18,7
edx.bookmark.accessed,2018-12-24,1
edx.bookmark.added,2018-09-17,25
edx.bookmark.added,2018-09-18,18
edx.bookmark.added,2018-09-19,12
edx.bookmark.added,2018-09-20,9
edx.bookmark.added,2018-09-21,20
edx.bookmark.added,2018-09-22,20
edx.bookmark.added,2018-09-23,26
edx.bookmark.added,2018-09-24,26
edx.bookmark.added,2018-09-25,21
edx.bookmark.added,2018-09-26,15
edx.bookmark.added,2018-09-27,14
edx.bookmark.added,2018-09-28,12
edx.bookmark.added,2018-09-29,12
edx.bookmark.added,2018-09-30,30
edx.bookmark.added,2018-10-01,10
edx.bookmark.added,2018-10-02,3
edx.bookmark.added,2018-10-03,6
edx.bookmark.added,2018-10-04,9
edx.bookmark.added,2018-10-05,4
edx.bookmark.added,2018-10-06,6
edx.bookmark.added,2018-10-07,21
edx.bookmark.added,2018-10-08,8
edx.bookmark.added,2018-10-09,22
edx.bookmark.added,2018-10-10,12
edx.bookmark.added,2018-10-11,6
edx.bookmark.added,2018-10-12,6
edx.bookmark.added,2018-10-13,7
edx.bookmark.added,2018-10-14,20
edx.bookmark.added,2018-10-15,13
edx.bookmark.added,2018-10-16,6
edx.bookmark.added,2018-10-17,12
edx.bookmark.added,2018-10-18,4
edx.bookmark.added,2018-10-19,5
edx.bookmark.added,2018-10-20,15
edx.bookmark.added,2018-10-21,12
edx.bookmark.added,2018-10-22,10
edx.bookmark.added,2018-10-23,7
edx.bookmark.added,2018-10-24,14
edx.bookmark.added,2018-10-25,6
edx.bookmark.added,2018-10-26,8
edx.bookmark.added,2018-10-27,9
edx.bookmark.added,2018-10-28,15
edx.bookmark.added,2018-10-29,28
edx.bookmark.added,2018-10-30,20
