username,time in 2 month,time in 3 month,time in 4 month,time in 5 month,time in 6 month,total time
mitrokhink,92.0,57.0,86.0,26.0,58.0,320.0
danilov3_av,0.0,0.0,24.0,159.0,126.0,310.0
ugorbunov,0.0,0.0,0.0,222.0,36.0,258.0
amedo,59.0,38.0,60.0,11.0,86.0,256.0
175139622,47.0,48.0,74.0,54.0,23.0,248.0
malkov_ks,32.0,50.0,89.0,58.0,18.0,248.0
vishnat,0.0,99.0,63.0,59.0,0.0,222.0
pogodinkv,0.0,0.0,0.0,173.0,44.0,218.0
edward_moskalchuk,0.0,0.0,106.0,107.0,0.0,214.0
n00bert,26.0,0.0,53.0,90.0,35.0,205.0
spbstu16357095,0.0,0.0,0.0,0.0,198.0,198.0
spv,18.0,103.0,24.0,9.0,36.0,191.0
scvo_jenya,7.0,26.0,73.0,82.0,0.0,190.0
flatmediaru,0.0,14.0,66.0,73.0,13.0,168.0
ruzheynikova_sveta,33.0,59.0,14.0,34.0,0.0,142.0
kbzybr,0.0,18.0,0.0,24.0,96.0,138.0
hvost166,17.0,9.0,37.0,55.0,16.0,136.0
abit,12.0,44.0,51.0,11.0,8.0,128.0
garagaav,0.0,0.0,9.0,100.0,16.0,127.0
sokerimies,0.0,0.0,95.0,14.0,0.0,109.0
atiunina,28.0,77.0,0.0,0.0,0.0,105.0
maknuna,4.0,10.0,52.0,34.0,0.0,102.0
spbstu16353035,0.0,0.0,0.0,0.0,98.0,98.0
9519439254,0.0,80.0,0.0,13.0,0.0,93.0
dmipla,0.0,0.0,0.0,89.0,0.0,89.0
id10086155,26.0,6.0,55.0,0.0,0.0,88.0
firstspringrain,12.0,34.0,21.0,20.0,0.0,88.0
lxandr,0.0,0.0,0.0,0.0,84.0,84.0
mitrokhina_ni,0.0,3.0,15.0,40.0,24.0,82.0
ridiculousdumb,0.0,0.0,0.0,5.0,76.0,81.0
polinap123,0.0,21.0,57.0,0.0,0.0,79.0
dar1t,0.0,0.0,28.0,28.0,21.0,78.0
LittleDevil,0.0,0.0,0.0,0.0,74.0,75.0
teu,12.0,25.0,30.0,5.0,0.0,74.0
ratmirspb,0.0,4.0,0.0,0.0,69.0,73.0
shpion39,25.0,0.0,15.0,9.0,22.0,73.0
_lebedeva_25,72.0,0.0,0.0,0.0,0.0,72.0
spbstu17352183,0.0,56.0,0.0,14.0,0.0,71.0
udtpro,0.0,0.0,0.0,33.0,34.0,67.0
abezrukov,0.0,56.0,5.0,0.0,0.0,62.0
spbstu14350248,0.0,0.0,12.0,1.0,48.0,62.0
firelen,60.0,0.0,0.0,0.0,0.0,60.0
mnv30,28.0,30.0,0.0,0.0,0.0,59.0
najdaod,0.0,0.0,0.0,38.0,19.0,58.0
original,0.0,0.0,21.0,22.0,12.0,56.0
spbstu17356158,0.0,0.0,0.0,0.0,54.0,54.0
bendrikovairina,41.0,11.0,0.0,0.0,0.0,52.0
enikolskaya,14.0,15.0,17.0,0.0,0.0,48.0
galious,8.0,39.0,0.0,0.0,0.0,48.0
luckyrin,0.0,46.0,0.0,0.0,0.0,47.0
kolozab,0.0,0.0,0.0,0.0,46.0,46.0
spbstu16353053,0.0,0.0,15.0,0.0,30.0,45.0
ksekator,0.0,13.0,0.0,0.0,31.0,44.0
vovanoti1,15.0,0.0,0.0,0.0,28.0,44.0
shamsyusyuh,0.0,15.0,28.0,0.0,0.0,43.0
svetozar,0.0,0.0,0.0,0.0,43.0,43.0
spbstu18355010,0.0,0.0,28.0,0.0,14.0,43.0
lardefor,3.0,0.0,0.0,0.0,39.0,42.0
deniscurufinwe,0.0,0.0,2.0,39.0,0.0,42.0
krushlinskayaev,12.0,7.0,3.0,0.0,18.0,41.0
spbstu17372012,15.0,8.0,17.0,0.0,0.0,41.0
olga_1571,0.0,40.0,0.0,0.0,0.0,40.0
tatiana_leus,40.0,0.0,0.0,0.0,0.0,40.0
starmos1,34.0,4.0,0.0,0.0,0.0,39.0
mich76,26.0,12.0,0.0,0.0,0.0,39.0
kpgolovanov,0.0,38.0,0.0,0.0,0.0,38.0
myamshikov91,0.0,21.0,16.0,0.0,0.0,38.0
spbstu17352146,18.0,6.0,0.0,0.0,12.0,37.0
id2012891,20.0,16.0,0.0,0.0,0.0,37.0
belyakova_ea,0.0,0.0,36.0,0.0,0.0,36.0
kultakatti,0.0,9.0,25.0,0.0,0.0,34.0
mczotov,34.0,0.0,0.0,0.0,0.0,34.0
olegh,0.0,2.0,0.0,2.0,28.0,34.0
seiinthesky1992,0.0,6.0,15.0,11.0,0.0,34.0
barmaleychik,32.0,0.0,0.0,0.0,0.0,33.0
valeriyselikhovv,33.0,0.0,0.0,0.0,0.0,33.0
jurvol,33.0,0.0,0.0,0.0,0.0,33.0
unom,30.0,1.0,0.0,0.0,0.0,32.0
gladtskovairina,1.0,29.0,0.0,0.0,0.0,31.0
lifelovedance,30.0,0.0,0.0,0.0,0.0,30.0
marininaav,21.0,9.0,0.0,0.0,0.0,30.0
id9524376,0.0,30.0,0.0,0.0,0.0,30.0
valsla,0.0,9.0,20.0,0.0,0.0,29.0
kiryanova_irina,0.0,4.0,0.0,0.0,25.0,29.0
laslea,10.0,0.0,0.0,18.0,0.0,29.0
vika1113,12.0,16.0,0.0,0.0,0.0,29.0
vera_do,0.0,28.0,0.0,0.0,0.0,29.0
iginna,0.0,28.0,0.0,0.0,0.0,28.0
keur,0.0,9.0,19.0,0.0,0.0,28.0
Sarapulov,7.0,0.0,19.0,0.0,0.0,27.0
amikhafizov,27.0,0.0,0.0,0.0,0.0,27.0
holmova_ps,0.0,27.0,0.0,0.0,0.0,27.0
id4226428,0.0,0.0,0.0,0.0,27.0,27.0
sotn_iya,17.0,8.0,0.0,0.0,0.0,26.0
erel,26.0,0.0,0.0,0.0,0.0,26.0
lozhkina_nastyusha,0.0,6.0,6.0,13.0,0.0,26.0
sergpav2000,8.0,17.0,0.0,0.0,0.0,26.0
airgamer22,0.0,0.0,25.0,0.0,0.0,25.0
flyman3,25.0,0.0,0.0,0.0,0.0,25.0
voytsekhovskiymv,18.0,0.0,0.0,6.0,0.0,25.0
kirillgalushkov,16.0,9.0,0.0,0.0,0.0,25.0
v7731vl,25.0,0.0,0.0,0.0,0.0,25.0
razleytsev,0.0,25.0,0.0,0.0,0.0,25.0
nikitadolotov,24.0,0.0,0.0,0.0,0.0,24.0
AnnaMelikian,17.0,0.0,0.0,0.0,7.0,24.0
vovkat,20.0,3.0,0.0,0.0,0.0,23.0
jene,0.0,23.0,0.0,0.0,0.0,23.0
anastasiya_tab,23.0,0.0,0.0,0.0,0.0,23.0
nazardidenko2000,18.0,5.0,0.0,0.0,0.0,23.0
SergeiEgorov,23.0,0.0,0.0,0.0,0.0,23.0
vitaliy25071993,0.0,23.0,0.0,0.0,0.0,23.0
katherinasolovyeva,23.0,0.0,0.0,0.0,0.0,23.0
bvb46,22.0,0.0,0.0,0.0,0.0,22.0
youareinvitedbutnotwelcome,22.0,0.0,0.0,0.0,0.0,22.0
mantisanton,5.0,16.0,0.0,0.0,0.0,21.0
sofia_zhelyabovskaya777,0.0,7.0,14.0,0.0,0.0,21.0
konstantinkupriyanov,0.0,21.0,0.0,0.0,0.0,21.0
stasy_putilo,21.0,0.0,0.0,0.0,0.0,21.0
artemkarpovich,0.0,0.0,0.0,1.0,19.0,20.0
spbstu16358571,0.0,0.0,20.0,0.0,0.0,20.0
ilichev1994,20.0,0.0,0.0,0.0,0.0,20.0
askhatkairov,19.0,0.0,0.0,0.0,0.0,19.0
spbstu17352181,0.0,0.0,18.0,0.0,0.0,18.0
nnatashaa1998,0.0,0.0,0.0,0.0,18.0,18.0
wichtane,0.0,18.0,0.0,0.0,0.0,18.0
artixz,18.0,0.0,0.0,0.0,0.0,18.0
cactusjack,18.0,0.0,0.0,0.0,0.0,18.0
azav13,18.0,0.0,0.0,0.0,0.0,18.0
dinagrube,0.0,17.0,0.0,0.0,0.0,17.0
mr_alexander,11.0,6.0,0.0,0.0,0.0,17.0
lobanova_rita,17.0,0.0,0.0,0.0,0.0,17.0
id145776860,17.0,0.0,0.0,0.0,0.0,17.0
Khachatur,17.0,0.0,0.0,0.0,0.0,17.0
id128649566,17.0,0.0,0.0,0.0,0.0,17.0
viacheslavsl,13.0,3.0,0.0,0.0,0.0,17.0
arvira,16.0,0.0,0.0,0.0,0.0,16.0
ponzhenya,16.0,0.0,0.0,0.0,0.0,16.0
spbstu16350454,0.0,0.0,9.0,0.0,7.0,16.0
vladimir-kobozeff,6.0,0.0,9.0,0.0,0.0,16.0
aleksey_tishin,16.0,0.0,0.0,0.0,0.0,16.0
id428568552,0.0,15.0,0.0,0.0,0.0,15.0
vladimirchebykin,15.0,0.0,0.0,0.0,0.0,15.0
ekaterinabiriukova3,14.0,1.0,0.0,0.0,0.0,15.0
nikitagruzdev,15.0,0.0,0.0,0.0,0.0,15.0
ovan,15.0,0.0,0.0,0.0,0.0,15.0
irvik,0.0,0.0,0.0,0.0,15.0,15.0
kjollar,14.0,0.0,0.0,0.0,0.0,14.0
tiffozy,14.0,0.0,0.0,0.0,0.0,14.0
id236340385,0.0,13.0,0.0,0.0,0.0,13.0
velesvolk,0.0,12.0,1.0,0.0,0.0,13.0
ledanik2,0.0,0.0,0.0,0.0,13.0,13.0
innavainberger,0.0,13.0,0.0,0.0,0.0,13.0
MishaTen,0.0,0.0,13.0,0.0,0.0,13.0
itiger,12.0,0.0,0.0,0.0,0.0,12.0
kiska-1998,0.0,12.0,0.0,0.0,0.0,12.0
id114268757,0.0,0.0,0.0,0.0,12.0,12.0
spbstu17370505,12.0,0.0,0.0,0.0,0.0,12.0
spbstu18355006,2.0,0.0,0.0,0.0,9.0,12.0
ionlat,0.0,12.0,0.0,0.0,0.0,12.0
markkuznetsov,0.0,12.0,0.0,0.0,0.0,12.0
vasokot,5.0,6.0,0.0,0.0,0.0,12.0
mrgshevtsova98,12.0,0.0,0.0,0.0,0.0,12.0
galievagina,12.0,0.0,0.0,0.0,0.0,12.0
bakisova,0.0,11.0,0.0,0.0,0.0,11.0
iibikmullina,0.0,0.0,5.0,6.0,0.0,11.0
dirdale,0.0,11.0,0.0,0.0,0.0,11.0
duante,11.0,0.0,0.0,0.0,0.0,11.0
hvblack,0.0,0.0,11.0,0.0,0.0,11.0
egorarkharov,0.0,11.0,0.0,0.0,0.0,11.0
lyubash_ka,0.0,3.0,8.0,0.0,0.0,11.0
thisiscreativ,0.0,0.0,0.0,0.0,11.0,11.0
igordunder99,0.0,0.0,11.0,0.0,0.0,11.0
id121285962,0.0,0.0,10.0,0.0,0.0,10.0
shatrovsv,0.0,0.0,0.0,0.0,10.0,10.0
elena_limberg,0.0,10.0,0.0,0.0,0.0,10.0
shilov_v,0.0,10.0,0.0,0.0,0.0,10.0
ksenkuyan,0.0,10.0,0.0,0.0,0.0,10.0
id9828409,0.0,10.0,0.0,0.0,0.0,10.0
glazi,10.0,0.0,0.0,0.0,0.0,10.0
oakxenia,10.0,0.0,0.0,0.0,0.0,10.0
poprygunchik,0.0,10.0,0.0,0.0,0.0,10.0
stalkeryga99,10.0,0.0,0.0,0.0,0.0,10.0
